OBSID,target_comb_idx,target_text,ctx_-4_speaker,ctx_-4_text,ctx_-3_speaker,ctx_-3_text,ctx_-2_speaker,ctx_-2_text,ctx_-1_speaker,ctx_-1_text,ctx_0_speaker,ctx_0_text,ctx_1_speaker,ctx_1_text,ctx_2_speaker,ctx_2_text,R1: References prior student content,R2: Builds on student content,R3: Invites further student thinking,C1. No student content available (N/A)
912,912_156,"Well, I don’t have three rooms, but I do kind of use three rooms.  I guess you can think of it as that.  And here they are.  We’re gonna have to move chairs up.  Thank you.  And we have some kits, and in here we have – go through and push your chair up and out of the way.  Obviously there’s something going on in here, huh?  Back when I moved them, they didn’t have anything going on in here.  Now, what you’re gonna need to do is give everybody a kit, okay?",teacher,"Spatial visualization means to be able to see how things are equal.  That’s what that means, sir.  All right, sounds good.  You want [Inaudible] Student C and help me pass things out?  Thank you.  All right, Student C, thank you. Now, what you’re going to need – excuse me – is you’re going to need a piece of paper to be able to draw the examples that you make.  So whether that be in your journal, that’s fine, or whether you have a separate piece of paper, but get that ready when Student C and I pass out the material.  Thank you.",student,[Inaudible],teacher,"They’re right over here.  Come with me quickly.  I slid them into this room because they take up so much space.  Oh, it’s unlocked.  Awesome.",student,You have three rooms.,teacher,"Well, I don’t have three rooms, but I do kind of use three rooms.  I guess you can think of it as that.  And here they are.  We’re gonna have to move chairs up.  Thank you.  And we have some kits, and in here we have – go through and push your chair up and out of the way.  Obviously there’s something going on in here, huh?  Back when I moved them, they didn’t have anything going on in here.  Now, what you’re gonna need to do is give everybody a kit, okay?",student,This whole box?,teacher,Just a green box.  All right.  Shh.,1,0,0,0
230,230_49,"Does this make sense?  So it scales down and then scales up. Okay?  Sometimes you will have to do that.  Simplify it, and then you will be able to find the 100 denominate. Okay.  It doesn’t work, and we’ll come back to this.  Okay? So we’ll talk about that, and that will be [atrial] strategy number three.  Okay?  One, two, and we’ll come back to this.  Okay? Now yesterday you also did a fraction bar or a percentage bar.  Okay? So let’s take a quick look at number one, and what’s that older – what’s the 100 percent?  What number [inaudible]?",teacher,They scale the same.  They stay [inaudible].,student,They’re all [inaudible].,teacher,"Right.  So stand up.  Get used to this work.  Okay?  Scaled up, scaled down.  Okay?  When you scale down, what does that mean?  Well, let me give you an example.  Okay?  So 15 over 18.  Okay?  So this is scaling down.  Okay?  And sometimes – actually this is not a good example.  We’ll look at it in a few minutes. Sometimes you will have to scale down in order to scale up to going to 100, but this actually doesn’t – it’s not a good example.  Let me give you another one.  See if this works. How about this?  So that’s when we turn this into 1[00.  I want to also [inaudible].  What else doesn’t go into 100 either do you think?",student,"A 9 to the 12 to 304.  Then 4 [inaudible], also.  [Inaudible].",teacher,"Does this make sense?  So it scales down and then scales up. Okay?  Sometimes you will have to do that.  Simplify it, and then you will be able to find the 100 denominate. Okay.  It doesn’t work, and we’ll come back to this.  Okay? So we’ll talk about that, and that will be [atrial] strategy number three.  Okay?  One, two, and we’ll come back to this.  Okay? Now yesterday you also did a fraction bar or a percentage bar.  Okay? So let’s take a quick look at number one, and what’s that older – what’s the 100 percent?  What number [inaudible]?",student,74.,teacher,"No.  What’s the number?  What’s the number of 3?  What are the number of the 10s?  371.  Right?  Okay.  And for Shaquille O’Neal, total 705.  Okay?  So can we just kind of look at this and figure out a strategy for estimating or calculating the percentage of 3?  Okay.  So how many did Yao Ming make?",0,0,1,0
2262,2262_108,"Get that down first.  Then we'll work on the sentence.  Okay. A complete sentence.  Lovely.  Keep going, Student A. Lovely.  I need to see you working, and right now I just see you talking to those boys at the table.  If you're done with the first side and you have a complete sentence, turn it over.  Equals?  Work on that.  Draw two binders.  Dole out 14.  Love to see the complete sentences.  Most of the time you can make a complete sentence using the words from the question.  4 people were on each team?  Good.  I love to see you using the words from the question.  Lovely. Fantastic.  Now give me a complete sentence.  So it's taping you not being on task.  Do you have a pencil?  Okay. So write the answer and then give me a complete sentence. How many drawings will go in each book?",teacher,What are your important pieces of information?,student,14 and 2.,teacher,What is your equation?,student,14 divided by 2.,teacher,"Get that down first.  Then we'll work on the sentence.  Okay. A complete sentence.  Lovely.  Keep going, Student A. Lovely.  I need to see you working, and right now I just see you talking to those boys at the table.  If you're done with the first side and you have a complete sentence, turn it over.  Equals?  Work on that.  Draw two binders.  Dole out 14.  Love to see the complete sentences.  Most of the time you can make a complete sentence using the words from the question.  4 people were on each team?  Good.  I love to see you using the words from the question.  Lovely. Fantastic.  Now give me a complete sentence.  So it's taping you not being on task.  Do you have a pencil?  Okay. So write the answer and then give me a complete sentence. How many drawings will go in each book?",student,7.,teacher,"Make it a complete sentence.  I hear a little bit of talking. If you're talking to your friend, I should hear words like divide, numbers.  Love to see the complete sentences.  A little less with the drawing.  I'll take this.  A little more with the writing the complete sentence.  I see some people have put the tips on the side of their paper, using that tips method to help them out, figuring out which operation they need, figuring out what numbers they're using, figuring out a number sentence.  Finish everything else and then the challenge.  Good, Student M.  You did it. Keep going.  Quiet show of hands if you've done numbers 1 through 5 please.  Keep going.  Numbers 1 through 5 should be done in the next five minutes.  This stuff needs to go away or it all belongs to me, because it's distracting you right now.  Remember our goal.  Be thinking about grouping versus sharing.  If you finish them, go back and think to yourself which ones are grouping, which ones are sharing. Remember, we're also using what we know about division to solve story problems, okay?  We're using that tips method to solve the story problem.  Again, I love to see the complete sentences and the equations being used.  This is not a complete sentence.  She can make—",0,0,1,0
38,38_177,"And that’s it and you – you can have three slices.  Okay, you’re really, really, really, really hungry and I tell you you can have three slices.  Which of those pizzas do you want a slice from, the three slices from?",teacher,No?  Why?,student,"[Inaudible] really, really, really [Inaudible]",teacher,Mm hmm.,student,[Inaudible] this one or this one.,teacher,"And that’s it and you – you can have three slices.  Okay, you’re really, really, really, really hungry and I tell you you can have three slices.  Which of those pizzas do you want a slice from, the three slices from?",student,[Inaudible],teacher,"The one that’s cut into fourths, because fourths are bigger than – than – no.",0,0,1,0
2981,2981_265,"Can I show you how I did it?  I know that here if it says ten goals, I know what five goals is.  If I double the five, I get ten, so if I double the total points.  Forty.  I get the same answer you got.  Eighty.  Just another way to solve it, okay?  I’m coming around.",teacher,How did you figure that out?,student,"All of these are times eight, and then when ten goals are scored, you have to times it by eight.",teacher,So is that how you did it?,student,Mm-hmm.,teacher,"Can I show you how I did it?  I know that here if it says ten goals, I know what five goals is.  If I double the five, I get ten, so if I double the total points.  Forty.  I get the same answer you got.  Eighty.  Just another way to solve it, okay?  I’m coming around.",student,"[Inaudible] papers, Teacher C?",teacher,"Let me check.  I’m coming to you next, okay?  [Students working on problem].  How did you get that answer?",0,0,1,0
178,178_232,Times 3.14.  What was it?  121?,teacher,Is that correct?,multiple students,No.,teacher,Okay.  What is 11 times 11?,multiple students,121.,teacher,Times 3.14.  What was it?  121?,multiple students,Yes.,teacher,Let’s go.  1 times 4?,1,1,0,0
815,815_308,"Ooh, so who has the larger sum?",teacher,"[Inaudible] I think it would be good just [inaudible].  All right, how are we – let's see.",student,0 and 75 hundredths.,teacher,You got it.,student,0 and 75 hundredths.,teacher,"Ooh, so who has the larger sum?",student,Student M.,teacher,Student M does.  I would do it over here.,0,0,1,0
306,306_305,It is 3D.  Anybody else learn something from their partner? Yes.,teacher,It's flat.  Some circles are flat.  Is a sphere flat?,student,"No, ma'am.",teacher,"No, so it's different.",student,3D.,teacher,It is 3D.  Anybody else learn something from their partner? Yes.,student,Decimals.,teacher,"Okay, maybe decimals, but you've got to think about it.  Do all circles have to use decimals?",1,0,1,0
4079,4079_738,Twenty.  Minus two is what?,teacher,"Times two, minus two.  Anyone have anything else?  Student E.",student,"Divide it by two, plus one.",teacher,"Divided by two, plus one.  All right, so let’s plug in these to see if they work.  Ten times two is what?  Remember, I’m going from my input to my output, so what’s ten times two?",student,Twenty.,teacher,Twenty.  Minus two is what?,student,Eighteen.,teacher,"Is that going to work?  So you ended up going from output to input.  So going from output to input that does work; but remember, we’re going from input to output, all right?  So that does work Student J when you go from output to input; but remember, we’re going the other direction.  We’re going from input to output.  So if we’re going from input to output let’s try what Student E has.  Divided by two plus one.  Ten divided by two is…?",1,1,0,0
510,510_4,Could be.  What’s the general term that that triangle – that that figure is?,teacher,"All right.  Thank you.  All right.  We’re gonna start today’s lesson reviewing some of the things we talked about yesterday.  So in your math notebook, I asked you to write the name of each triangle, so who can answer number one for me?  Student R?",student,Isosceles?,teacher,Could be.  Any other answers?  Student L?,student,Equilateral?,teacher,Could be.  What’s the general term that that triangle – that that figure is?,student,Triangle?,teacher,"It’s a triangle.  I didn’t really give you any specifics, did I?  Sorry, I blurted that answer out, didn’t I?",1,1,1,0
938,938_40,What do you need?,teacher,"A part of one whole.  A decimal, when you use a decimal, boys and girls, you are talking pieces.  You are talking that you have a part of a number.  So, if you have 1.5, you have one whole and then you have half of another one.  If you have 0.7, then you don't have a whole and it's less than one whole.  It's a way to write a number that doesn't equal one whole.  It's a piece of something.  It's a piece of a whole. what do you need?",student,Can I go to the ladies?,teacher,Really?  Is this an emergency?,student,It's business.,teacher,What do you need?,student,My allergy is bothering me.,teacher,"So if I have – take the pass and go.  Please don't walk through the middle of my room.  So when I am talking, you have a number line on your nametag, if you have it on your desk. The ones place is in green.  Then if we were gonna use the decimal, it would be right after the ones place.  And the first place after the decimal point has a name, and its name is right there on the first pink box for you.  Can you tell me what its name is, Student E?",0,0,0,1
248,248_62,"Thousandths.  Just like okay, the only difference is you’re adding a t-h-s.  If I wanted to go this way, let’s erase this for a second.  If I wanted to go this way, what’s this place?",teacher,"Hundredths place, okay?  Remember, after the decimal point, what’s this place?  Tenths.  Then comes –",student,Hundredths.,teacher,Hundredths.  What would come after – now some of you got confused on your quiz that you took Friday.  What would come after hundredths?,student,Thousandths?,teacher,"Thousandths.  Just like okay, the only difference is you’re adding a t-h-s.  If I wanted to go this way, let’s erase this for a second.  If I wanted to go this way, what’s this place?",student,[Inaudible].,teacher,"Ones, right?  So the only difference between numbers after the decimal point is that they don’t – actually this would be your ones place where the zero was.  You don’t have a ones place.  There isn’t a onesth place, okay? So it goes ones, tens, hundreds, what comes after hundreds?",1,1,1,0
2236,2236_32,"And now add one fourth.  Okay, so you’re going to have to use your – your group.",student,"No, he doesn’t have a partner.",teacher,"Oh.  Okay, then if you have to do a three team, that’s fine. Okay.  So work with someone near you and just if you do one group of three, that’s fine.  So put your two wholes together.   Okay, just put two wholes together, and one of you get your three eighths.  Find three eighths.",teacher,"Get your wholes, yeah.  Get your wholes.  So you two can – you all three can work down there.  That’s fine.",teacher,"Two whole.  They can work together.  Okay.  Two wholes and three eighths.  Okay.  Now, you can use your two halves to make your one whole.",teacher,"And now add one fourth.  Okay, so you’re going to have to use your – your group.",teacher,"Don’t put them – you need to put them together, okay?  Here’s your two and three eighths.  Okay, now you can use this as one whole and one fourth.  Okay, so with your group – you’re about to lose them.",student,"Well, she took it.",0,0,0,0
717,717_372,"Two.  That's my denominator.  Two total choices.  If it lands up, I would have 1 out of 2 chances for it to land up.  If it lands down, I would have 1 out of 2 chances to land down.  One half is the same as what decimal up here?",teacher,How many choices would I have?,student,Half.,teacher,How many total choices is that?,student,Two.,teacher,"Two.  That's my denominator.  Two total choices.  If it lands up, I would have 1 out of 2 chances for it to land up.  If it lands down, I would have 1 out of 2 chances to land down.  One half is the same as what decimal up here?",multiple students,.5.,teacher,".5.  One half – there were two total choices.  It could either be one half or one half.  It's the same as .5.  That is why most people's landed at .5.  To summarize, what is probability?  What is probability, Student L?",1,1,1,0
4084,4084_169,"I think that the group that is finished first is the one who’ll have [Inaudible] share for today.  I think that the group who is finished first is the one we will wrap up with for today.  What are you doing?  We’re not copying any problems.  You guys are not doing a chart because you’re not going onto the board with it.  What you want to do with this is show me a picture representation, just like we did here.  So you need to write the problem.  You need to do a picture representation.",student,[Inaudible] because it said how many apples are there.,teacher,"Right.  So Student K, he just said how many apples did she receive, noticing the format of the question of the words in there.  So now your picture’s going to look a little different isn’t it?  So if you are waiting to help with the chart, go on to the other problems on page 33 and 34.",teacher,"You’re supposed to do that.  I said, I just said if you’re done with the one I gave you go on to the other ones that I didn’t give you and do those while you’re waiting.  Yes.",student,You know what my mom used to tell me?  Do a snowman.,teacher,"I think that the group that is finished first is the one who’ll have [Inaudible] share for today.  I think that the group who is finished first is the one we will wrap up with for today.  What are you doing?  We’re not copying any problems.  You guys are not doing a chart because you’re not going onto the board with it.  What you want to do with this is show me a picture representation, just like we did here.  So you need to write the problem.  You need to do a picture representation.",student,I tried my best.,teacher,"Let me see this.  The problem there are 3 fourth grade classes at the Washington Elementary School.  There are 21 student sin each class.  How many fourth graders are there in all? When we divide, we are taking a big amount and making it into smaller groups, right?  Look at this question.  How many fourth graders are there in all?",0,0,1,0
2969,2969_468,– is one-third less than one-half?,teacher,Everyone?,student,Yes.,teacher,Is one-half –,student,Yes.,teacher,– is one-third less than one-half?,multiple students,Yes.,teacher,"Yes.  So one-third works.  Student S, one more? If you don’t have one-third down, get it down, please.",0,0,1,0
4082,4082_247,[Teacher writing on board].,teacher,Six five times.  One time.  Two times.  Three times.  Four times.  Five times.  Does that make sense?,student,[Inaudible].,teacher,"So this would be which equals six, which equals 30.  What do you think my 50 times six would look like?  How would I draw that?  That’s what I’m asking you to do.  Yeah?",student,You would do [inaudible] times -,teacher,[Teacher writing on board].,student,- [inaudible] number.,teacher,Two.,0,0,0,0
2604,2604_171,Yes.,teacher,"This is all we’re gonna do.  We’re gonna go around the circle, we’re gonna all say our answer choice for all nine multiple choice questions.  We’ll see if we get them right.  If there’s a disagreement, I want you to immediately raise your hand so that I know that two groups disagree ‘cause that’s half your team is gonna have a problem explaining stuff. Does everybody understand?  So everybody start with the number one.  Go around the group, say your answer choice, and make sure everybody is in agreement.  Please don’t play with those.  I’m gonna take those, actually.  Start with you.  Go ahead.  Student B?",teacher,"It really doesn’t matter.  Just go around and say your answer. You’re the first person, you start again, honey.  Number two.  Student X’s correct.",teacher,"Be respectful, please.  Do it respectfully.",teacher,"I would like to thank this group for now getting themselves under some self-control as they go around the group.  I hear some noises that I don’t think are appropriate for just going around and saying a letter.  There should be no noise attached to that.  Are you guys done going around, making your choices?",teacher,Yes.,student,We have a disagreement.,teacher,What do you disagree on?,0,0,0,0
2141,2141_321,Reflect or a –,teacher,"And we’ll try to use all of the words because in a test you might not see this word, but you might see translation.  So you need to know both words.  You need to know that a slide is a translation.  You need to know that turn is a –",student,Rotation.,teacher,Rotation.  And you need to know that a flip is a –,student,Reflect.,teacher,Reflect or a –,student,Reflection.,teacher,"Reflection because it may have the T-I-O-N on it.  Now what I would like you to do, the second part of our lesson is I want to work on divisors and dividends and all of that, but I have a question for you first.  This is a new thing that we’re gonna try, probably.  Tell me what a mixed number is please.  Tell me what a mixed number is.  Student A, what’s a mixed number?",1,0,0,0
4201,4201_998,"So if you’ve got three-tenths, what can you do?  You only need five.  No, no, no.  what are you doing?  Just wait.  No. Not this one.",teacher,"Then what did you do, next?",student,Nine times two.,teacher,Equals?,student,Eighteen.,teacher,"So if you’ve got three-tenths, what can you do?  You only need five.  No, no, no.  what are you doing?  Just wait.  No. Not this one.",student,Then I could do eight times [inaudible].  Then I could do nine times two?,teacher,"Nine’s not your denominator, anymore.",0,0,1,0
